type,omnianame,spinename,peganame,freshness,typelimit,typesourceTimeZone,typetargetTimeZone,typename
BooleanString,cep_customer_features.acct_clse_flag,ACCT_CLSE,hasAccountsClosed,P2D,,,,
Integer,cep_customer_features.acct_dep_code_cnt,ACCT_DEP_CODE_CNT,NumAcctDepositCode,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_acct_in_coll_flag,ACCT_IN_COLL_FLAG,AcctInCollFlag,P2D,,,,
String,cep_customer_features.gdw_acct_orig_chnl,ACCT_ORIG_CHANNEL,AcctOrigChannel,P1D,255,,,
String,cep_customer_features.sap_ods_bp_id,ACTV_BUSINESS_PARTNER_ID,ActvBusinessPartnerID,P1D,100,,,
Date,cep_customer_features.cust_last_adrs_chng_date,ADRS_LAST_UPD_DATE,AddressLastUpdateDate,P2D,,,,
Date,cep_customer_features.cmse_low_lat_afs_appt_last_dcln_date,AF_APPT_LAST_DECL_DATE,AFAppLastDeclineDate,P2D,,,,
Integer,cep_customer_features.sap_cust_age_in_mnth,AGE_IN_MONTHS,CustomerAgeInMonths,P1D,,,,
BooleanString,cep_customer_features.age_unkn_flag,AGE_UNKN_F,IsAgeUnknown,P2D,,,,
BooleanString,cep_customer_features.alnc_ptnr_flag,ALNC_PTNR_FLAG,AlliancePartnerFlag,P2D,,,,
BooleanString,cep_customer_features.andr_dvic_cust_flag,ANDR_DVIC_CUST_FLAG,AndroidCustFlag,P2D,,,,
BooleanString,cep_customer_features.andr_mobl_regr_dvic,ANDR_MOBL_REGR_DVIC,AndrMoblRegrFlag,P2D,,,,
String,cep_customer_features.anzi_code,ANZI_CODE,ANZSICIndustryCode,P2D,10,,,
String,cep_customer_features.anzi_divn_code,ANZI_DIVN_CODE,ANZSICIndustryDivision,P2D,10,,,
BooleanString,cep_customer_features.apple_pay_use,APPLE_PAY_USE,ApplePayUse,P1D,,,,
Date,cep_customer_features.ap_prvn_date,AP_PRVN_DATE,CardProvisioningDate,P1D,,,,
BooleanString,cep_customer_features.ap_prvn_not_comp_f,AP_PRVN_NOT_COMP_F,ProvisionNotCompleted,P1D,,,,
Date,cep_customer_features.aust_arrival_date,AUST_ARRIVAL_DATE,AustArrivalDate,P1D,,,,
BooleanString,cep_customer_features.autr_cpln_6m_flag,AUTR_CPLN_6M_FLAG,AustracComplaintFlag6M,P2D,,,,
Double,cep_customer_features.avg_3_mnth_slry,AVG_3_MNTH_SLRY_AMT,Average3MonthSalary,P2D,,,,
Double,cep_customer_features.avg_6_mnth_slry,AVG_6_MNTH_SLRY_AMT,Average6MonthSalary,P2D,,,,
BooleanString,cep_customer_features.bad_qual_acct_cr_flag,BAD_QUAL_ACCT_CR_F,hasBadQualityCreditAccount,P2D,,,,
BooleanString,cep_customer_features.bad_qual_acct_flag,BAD_QUAL_ACCT_F,hasBadQualityAccount,P2D,,,,
BooleanString,cep_customer_features.bass_cust_flag,BASS_MNGD_CUST_FLAG,IsBASSManagedCust,P1D,,,,
String,cep_customer_features.bbl_elgl_code,BBL_ELGL_CODE,BBLElglCode,P2D,2,,,
Double,cep_customer_features.bbl_tot_amt,BBL_TOT_AMT,BBLTotalAmount,P2D,,,,
Double,cep_customer_features.bbl_us_amt,BBL_US_AMT,BBLUnsecuredAmount,P2D,,,,
BooleanString,cep_customer_features.benf_only_cust_flag,BEN_ONLY_CUST_F,IsBeneficiaryOnly,P2D,,,,
BooleanString,cep_customer_features.sap_cust_bday_tmrw_flag,BIRTHDAY_FLAG,IsBirthdayToday,P1D,,,,
Double,cep_customer_features.bpb_afcar_eu_sg_prop,BPB_AFCAR_EU_SG_PROP,BPBAssetFinanceCarUpsellProp,P2D,,,,
Double,cep_customer_features.bpb_afcar_ex_sg_prop,BPB_AFCAR_EX_SG_PROP,BPBCarFinanceCrossSellProp,P2D,,,,
Double,cep_customer_features.bpb_afequip_eu_sg_prop,BPB_AFEQUIP_EU_SG_PROP,BPBAssetFinanceEquipUpsellProp,P2D,,,,
Double,cep_customer_features.bpb_afequip_ex_sg_prop,BPB_AFEQUIP_EX_SG_PROP,BPBEquipFinanceCrossSellProp,P2D,,,,
Double,cep_customer_features.bpb_bbl_eu_sg_prop,BPB_BBL_EU_SG_PROP,BPBBBLUpsellPropensity,P2D,,,,
Double,cep_customer_features.bpb_bbl_ex_sg_prop,BPB_BBL_EX_SG_PROP,BPBBBLCrossSellPropensity,P2D,,,,
Double,cep_customer_features.bpb_bbl_r_a_prop,BPB_BBL_R_A_PROP,BPBBBLRetentionPropensity,P2D,,,,
Double,cep_customer_features.bpb_bta_eu_sg_prop,BPB_BTA_EU_SG_PROP,BPBBTAUpsellPropensity,P2D,,,,
Double,cep_customer_features.bpb_bta_ex_sg_prop,BPB_BTA_EX_SG_PROP,BPBBTACrossSellPropensity,P2D,,,,
Double,cep_customer_features.bpb_hlio_e_p_prop,BPB_HLIO_E_P_PROP,BPBHLInterestOnlyPropensity,P2D,,,,
Double,cep_customer_features.bpb_hlpi_e_p_prop,BPB_HLPI_E_P_PROP,BPBHomeLoanPAndIPropensity,P2D,,,,
BooleanString,cep_customer_features.bpb_wtch_list_flag,BPB_WTCH_LIST_FLAG,BPBWatchListFlag,P1D,,,,
Integer,cep_customer_features.pj_prsl_tran_trnf_brch_last_1_mnth_cnt,BRCH_TRAN_LAST_1_MNTH_CNT,CountOfBranchTran1Month,P2D,,,,
String,cep_customer_features.gdw_bsb_orig,BSB_ORIGIN,BSBOrigin,P2D,10,,,
String,cep_customer_features.gdw_bsb_desc,BSB_ORIGIN_DESC,BSBOriginDesc,P1D,255,,,
String,cep_customer_features.gdw_busn_bank_spec_idnn,BUSN_BANK_SPEC_IDNN,BusnBankSpecIdnn,P2D,40,,,
Integer,cep_customer_features.crcd_busn_cnt_pdct_card_schm_othr,BUSN_CNT_PDCT_CARD_SCHM_OTHR,BusCountOtherCreditCards,P2D,,,,
BooleanString,cep_customer_features.busn_cust_flag,BUSN_CUST_F,IsBusinessCustomer,P2D,,,,
DenseDate,cep_customer_features.crcd_busn_min_plas_mc_issu_date,BUSN_MIN_PLAS_MC_ISSU_DATE,BusMinIssueDateMC,P2D,,,,
DenseDate,cep_customer_features.crcd_busn_min_plas_visa_issu_date,BUSN_MIN_PLAS_VISA_ISSU_DATE,BusMinIssueDateVisa,P2D,,,,
String,cep_customer_features.busn_pd_rating,BUSN_PD_RATING,BusinessPDRating,P1D,5,,,
BooleanString,cep_customer_features.busn_ptnr_type_c,BUSN_PTNR_TYPE_C,BusinessPartnerCode,P1D,,,,
Date,cep_customer_features.busn_revw_ltst_date,BUSN_REVW_LTST_DATE,LatestBusnRevwDate,P1D,,,,
String,cep_customer_features.busn_unit,BUSN_UNIT,BusinessUnitRvmp,P1D,256,,,
DenseDate,cep_customer_features.capp_frst_logn_date,CAPP_FRST_LOGN_DATE,CommbankAppFirstLoginDate,P2D,,,,
BooleanString,cep_customer_features.card_prvn_omnia,CARD_PRVN,CardPrvn,P1D,,,,
BooleanString,cep_customer_features.staf_flag,CBA_STAFF_F,IsStaff,P2D,,,,
BooleanString,cep_customer_features.cbz_flag,CBZ_FLAG,HasCommbiz,P1D,,,,
Integer,cep_customer_features.ccl_last_appt_stus_code,CCL_LAST_APPT_STUS_CODE,CCLLastApptStatusCode,P1D,,,,
DateTime,cep_customer_features.ccl_last_appt_updt_date,CCL_LAST_APPT_STUS_DATE,CCLLastApptStatusDate,P1D,,Australia/Sydney,Australia/Sydney,
String,cep_customer_features.ccl_last_appt_stus_desc,CCL_LAST_APPT_STUS_DESC,CCLLastApptStatusDesc,P1D,255,,,
DateTime,cep_customer_features.ccl_last_dcln_date,CCL_LAST_DCLN_DATE,CCLLastDeclineDate,P1D,,Australia/Sydney,Australia/Sydney,
Integer,cep_customer_features.cmse_cc_app_chnl_id,CC_APPT_CHNL_ID,CCApplicationChannelID,P2D,,,,
String,cep_customer_features.cmse_cc_app_id,CC_APPT_ID,CCApplicationID,P2D,20,,,
DateTime,cep_customer_features.cmse_low_lat_cc_app_ltst_dcln_date,CC_APPT_LAST_DECL_DATE,CCApplicationLastDeclineDate,P1D,,Australia/Sydney,Australia/Sydney,
String,cep_customer_features.cc_appt_pdct_schm,CC_APPT_PDCT_SCHM,AppCCPdctSchm,P1D,150,,,
String,cep_customer_features.cc_appt_pdct_tier,CC_APPT_PDCT_TIER,AppCCCardTier,P1D,150,,,
String,cep_customer_features.cc_appt_pdct_type,CC_APPT_PDCT_TYPE,AppCCPdctType,P1D,150,,,
BooleanString,cep_customer_features.cc_arrs_high_svrt_flag,CC_ARRS_HIGH_SVRT_FLAG,CCHighSvrtFlag,P2D,,,,
BooleanString,cep_customer_features.cc_arrs_low_svrt_flag,CC_ARRS_LOW_SVRT_FLAG,CCLowSvrtFlag,P2D,,,,
Integer,cep_customer_features.crcd_busn_cnt_totl,CC_BUS_CNT_NUM,CCBusinessCount,P2D,,,,
Double,cep_customer_features.crcd_busn_max_cr_limt_usge,CC_BUS_MAX_USAGE,MaxCreditCardUsageBusiness,P2D,,,,
Double,cep_customer_features.crcd_busn_min_cr_limt_usge,CC_BUS_MIN_USAGE,MinCreditCardUsageBusiness,P2D,,,,
Integer,cep_customer_features.cmse_cc_app_ltst_stus,CC_LAST_APPT_STUS_CODE,CCApplicationStatus,P2D,,,,
DenseDateTime,cep_customer_features.cmse_cc_app_last_updt_date,CC_LAST_APPT_UPDT_DATE,CCApplicationLastUpdateDate,P2D,,Australia/Sydney,Australia/Sydney,
Integer,cep_customer_features.cmse_low_lat_cc_app_chnl_id,CC_LST_APPT_CHNL_ID,CCAppChannelID,P1D,,,,
String,cep_customer_features.cmse_low_lat_cc_app_id,CC_LST_APPT_ID,CCAppID,P1D,17,,,
Integer,cep_customer_features.cmse_low_lat_cc_app_ltst_stus,CC_LST_APPT_STUS_CODE,CCAppStatus,P1D,,,,
String,cep_customer_features.cmse_low_lat_cc_app_ltst_stus_desc,CC_LST_APPT_STUS_DESC,CCLastApplicationStatusDesc,P1D,100,,,
DateTime,cep_customer_features.cmse_low_lat_cc_app_last_updt_date,CC_LST_APPT_UPDT_DATE,CCAppLastUpdateDate,P1D,,Australia/Sydney,Australia/Sydney,
Integer,cep_customer_features.crcd_prsl_cnt_totl,CC_PERS_CNT_NUM,CCPersonalCount,P2D,,,,
Double,cep_customer_features.crcd_prsl_max_cr_limt_usge,CC_PERS_MAX_USAGE,MaxCreditCardusagePersonal,P2D,,,,
Double,cep_customer_features.cc_pre_approved_amount,CC_PREAPPROVED_AMOUNT,CcPreApprovedAmount,P1M,,,,
Integer,cep_customer_features.cc_pre_approved_score,CC_PREAPPROVED_SCORE,CcPreApprovedScore,P1M,,,,
Double,cep_customer_features.crcd_prsl_min_cr_limt_usge,CC_PRS_MIN_USAGE,MinCreditCardUsagePersonal,P2D,,,,
Date,cep_customer_features.cc_risk_file_last_update,CC_RISK_FILE_LAST_UPDATE_DATE,CcRiskFileLastUpdateDate,P1M,,,,
Integer,cep_customer_features.pj_onb_cdia_offr_1156_cnt,CDIA_OFFR_1156_CNT,CountCDIAOffer1156,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_cep_natl_rolt,CEP_NATL_ROLLOUT_FLAG,CepNatlRollOutFlag,P2D,,,,
BooleanString,cep_customer_features.gdw_cfp_flag_v2,CFP_FLAG,CfpFlag,P2D,,,,
String,cep_customer_features.cfp_cln_catg,CFP_XPLAN_CLIENT_CATEGORY,CfpXplanClientCategory,P7D,255,,,
String,cep_customer_features.cfp_enty_clsu,CFP_XPLAN_ENTITY_STATUS,CfpXplanEntityStatus,P7D,255,,,
String,cep_customer_features.cibi_insr_home,CIBI_INSR_HOME,CIBIInsurerHome,P2D,50,,,
String,cep_customer_features.cibi_insr_motr,CIBI_INSR_MOTR,CIBIInsurerMotor,P2D,50,,,
String,cep_customer_features.cibi_insr_unkn,CIBI_INSR_UNKN,CIBIInsurerUnknown,P2D,50,,,
Date,cep_customer_features.cibi_next_rnew_home_date,CIBI_NEXT_RNEW_HOME_DATE,CIBINextRnewHomeDate,P2D,,,,
Date,cep_customer_features.cibi_next_rnew_motr_date,CIBI_NEXT_RNEW_MOTR_DATE,CIBINextRnewMotorDate,P2D,,,,
Date,cep_customer_features.cibi_next_rnew_unkn_date,CIBI_NEXT_RNEW_UNKN_DATE,CIBINextRnewUnknownDate,P2D,,,,
String,cep_customer_features.clg_prop_for_rent_flag,CLG_PROP_FOR_RENT_FLAG,ClgPropForRentFlag,P2D,1,,,
Date,cep_customer_features.clg_prop_for_rent_list_date,CLG_PROP_FOR_RENT_LIST_DATE,ClgPropForRentListDate,P2D,,,,
String,cep_customer_features.clg_prop_for_rent_list_pric,CLG_PROP_FOR_RENT_LIST_PRIC,ClgPropForRentListPrice,P2D,100,,,
String,cep_customer_features.clg_prop_for_rent_titl_flag,CLG_PROP_FOR_RENT_TITL_FLAG,ClgPropForRentTitleHolder,P2D,1,,,
String,cep_customer_features.clg_prop_for_sale_detl,CLG_PROP_FOR_SALE_DETL,CglPropForSaleAddressDetail,P2D,100,,,
String,cep_customer_features.clg_prop_for_sale_flag,CLG_PROP_FOR_SALE_FLAG,ClgPropForSaleFlag,P2D,1,,,
Date,cep_customer_features.clg_prop_for_sale_list_date,CLG_PROP_FOR_SALE_LIST_DATE,ClgPropForSaleListDate,P2D,,,,
String,cep_customer_features.clg_prop_for_sale_list_pric,CLG_PROP_FOR_SALE_LIST_PRIC,ClgPropForSaleListPrice,P2D,100,,,
String,cep_customer_features.clg_prop_for_sale_titl_flag,CLG_PROP_FOR_SALE_TITL_FLAG,ClgPropForSaleTitleHolder,P2D,1,,,
String,cep_customer_features.clg_prop_sold_flag,CLG_PROP_SOLD_FLAG,ClgPropSoldFlag,P2D,1,,,
Date,cep_customer_features.clg_prop_sold_list_date,CLG_PROP_SOLD_LIST_DATE,ClgPropSoldListDate,P2D,,,,
String,cep_customer_features.clg_prop_sold_list_pric,CLG_PROP_SOLD_LIST_PRIC,ClgPropSoldListPrice,P2D,100,,,
String,cep_customer_features.clg_prop_sold_titl_flag,CLG_PROP_SOLD_TITL_FLAG,ClgPropSoldTitleHolder,P2D,1,,,
String,cep_customer_features.clg_prop_titl_flag,CLG_PROP_TITL_FLAG,ClgPropTitleFlag,P2D,1,,,
BooleanString,cep_customer_features.cli_cnst_flag,CLI_CONSENT_F,IsCLIConsent,P2D,,,,
String,cep_customer_features.clst_brch,CLOSEST_BRANCH,ClosestBranch,P1D,255,,,
BooleanString,cep_customer_features.clse_cpln_extl_dspt_rslv_f,CLSE_CPLN_EXTL_DSPT_RSLV_F,ComplaintExtlDsptRslvFlag,P2D,,,,
BooleanString,cep_customer_features.clse_cpln_frnt_line_rslv_f,CLSE_CPLN_FRNT_LINE_RSLV_F,ComplaintFrntLineRslvFlag,P2D,,,,
BooleanString,cep_customer_features.clse_cpln_intr_dspt_rslv_f,CLSE_CPLN_INTR_DSPT_RSLV_F,ComplaintIntrDsptRslvFlag,P2D,,,,
BooleanString,cep_customer_features.clse_cpln_qwik_rslv_f,CLSE_CPLN_QWIK_RSLV_F,ComplaintQwikRslvFlag,P2D,,,,
BooleanString,cep_customer_features.clse_multi_cpln_f,CLSE_MULTI_CPLN_F,ComplaintMultiClseFlag,P2D,,,,
Integer,cep_customer_features.cmse_hl_tu_app_chnl_id,CMSE_HL_TU_CHNL_ID,HLTopUpAppChannel,P2D,,,,
DenseDateTime,cep_customer_features.cmse_hl_tu_app_last_updt_date,CMSE_HL_TU_CHNL_LAST_DATE,HLTopUpAppLastDate,P2D,,Australia/Sydney,Australia/Sydney,
Integer,cep_customer_features.cmse_hl_tu_app_ltst_stus,CMSE_HL_TU_LTST_STUS,HLTopUpAppStatus,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_cncl_rate_payt_flag,CNCL_RATE_PAYT_FLAG,CnclRatesPaytFlag,P2D,,,,
Double,cep_customer_features.num_empl,CNT_EMPL_NUM,CountOfEmployers,P2D,,,,
Integer,cep_customer_features.crcd_prsl_cnt_blok_rcls_code_cli,CNT_PRSL_CC_BLOK_RCLS_CLI,CCBlockReclassCodeCountCLI,P2D,,,,
Integer,cep_customer_features.cpln_comp_bynd_past_180_days_cnt,COMP_BYND_PAST_180_DAYS_CNT,CountOfComplaintsBynd180,P2D,,,,
Integer,cep_customer_features.cpln_comp_past_0_to_30_days_cnt,COMP_PAST_0_30_DAYS_CNT,CountOfComplaints0To30,P2D,,,,
Integer,cep_customer_features.cpln_comp_past_120_to_150_days_cnt,COMP_PAST_120_150_DAYS_CNT,CountOfComplaints120To150,P2D,,,,
Integer,cep_customer_features.cpln_comp_past_150_to_180_days_cnt,COMP_PAST_150_180_DAYS_CNT,CountOfComplaints150To180,P2D,,,,
Integer,cep_customer_features.cpln_comp_past_30_to_60_days_cnt,COMP_PAST_30_60_DAYS_CNT,CountOfComplaints30To60,P2D,,,,
Integer,cep_customer_features.cpln_comp_past_60_to_90_days_cnt,COMP_PAST_60_90_DAYS_CNT,CountOfComplaints60To90,P2D,,,,
Integer,cep_customer_features.cpln_comp_past_90_to_120_days_cnt,COMP_PAST_90_120_DAYS_CNT,CountOfComplaints90To120,P2D,,,,
BooleanString,cep_customer_features.cond_aprd_crcd_limt_incs_flag,COND_APPR_CLI_F,CondApprForCCLimitIncrease,P2D,,,,
BooleanString,cep_customer_features.cond_aprd_prsl_ovdr_flag,COND_APPR_PO_F,CondApprForAPersonalOverdraft,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_cond_aprd_crcd_flag,COND_APRD_CREDIT_CARD_FLAG,CondApprovedCreditCard,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_cond_aprd_pl_flag,COND_APRD_PL_FLAG,CondApprovedPersonalLoan,P2D,,,,
BooleanString,cep_customer_features.corp_fncl_serv_cust,CORP_FNCL_SERV_CUST,CorpFnclServCustomers,P1D,,,,
Integer,cep_customer_features.afs_pdct_cnt,COUNT_ACTIVE_AF,AssetFinanceCount,P2D,,,,
Integer,cep_customer_features.sbo_pdct_cnt,COUNT_ACTIVE_SBO,SBOCount,P1D,,,,
Double,cep_customer_features.cnt_prsl_ovdr_acct,COUNT_PRSL_OVDR_ACCT_NUM,CountPersonalOverdraftAccount,P2D,,,,
Double,cep_customer_features.cnt_prsl_save_acct,COUNT_PRSL_SAV_ACCT_NUM,CountPersonalSavingsAccount,P2D,,,,
Double,cep_customer_features.cnt_prsl_trn_acct,COUNT_PRSL_TRAN_ACCT_NUM,CountPersonalTrxAccount,P2D,,,,
Integer,cep_customer_features.cnt_vloc_acct,COUNT_VLOC_NUM,VLOCCount,P2D,,,,
Double,cep_customer_features.cps_band_home,CPS_BAND_HOME,CPSBandHome,P60D,,,,
Double,cep_customer_features.cps_band_motr,CPS_BAND_MOTR,CPSBandMotor,P60D,,,,
Double,cep_customer_features.cps_t_band_home,CPS_T_BAND_HOME,CPSTBandHome,P60D,,,,
Double,cep_customer_features.cps_t_band_motr,CPS_T_BAND_MOTR,CPSTBandMotor,P60D,,,,
Integer,cep_customer_features.cust_chrt_id,CRB_CUSTOMER_COHORT_ID,CRBCustomerCohortID,P1D,,,,
Integer,cep_customer_features.crcd_prsl_cnt_apay_code,CRCD_APAY_CNT,CountCCWithAutopay,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_crcd_appt_with_ofi_hl_flag,CRCD_APPT_WITH_OFI_HL_FLAG,CRCDApplnWithOFlHLFlag,P2D,,,,
Double,cep_customer_features.crcd_prsl_sum_totl_baln_curr,CRCD_PRSL_TOTL_BALN,CreditCardPrslTotalBalance,P2D,,,,
Integer,cep_customer_features.gcps_crcd_prsl_uact_mcrd_cnt,CRCD_PRSL_UACT_MC_CNT,CountUnactivatedPersMC,P2D,,,,
Integer,cep_customer_features.gcps_crcd_prsl_uact_visa_cnt,CRCD_PRSL_UACT_VISA_CNT,CountUnactivatedPersVisa,P2D,,,,
DenseDate,cep_customer_features.crs_compl_date,CRS_COMPL_DATE,CRSCompletionDate,P1D,,,,
BooleanString,cep_customer_features.crs_self_certificated,CRS_SELF_CERTIFICATED,CRSSelfCertificated,P1D,,,,
Double,cep_customer_features.csc_cr_c_risk_aprd_limt,CSC_CC_RISK_APRD_LIMT,CCRiskApprovedLimit,P1M,,,,
String,cep_customer_features.csc_cc_risk_stus,CSC_CC_RISK_STUS,CCRiskApprovalStatus,P1M,250,,,
Double,cep_customer_features.csc_prsl_l_risk_aprd_amt,CSC_PL_RISK_APRD_AMT,PLRiskApprovedAmount,P1M,,,,
String,cep_customer_features.csc_pl_risk_stus,CSC_PL_RISK_STUS,PLRiskApprovalStatus,P1M,250,,,
Date,cep_customer_features.cse_crcd_cli_cnst_date,CSE_CRCD_CLI_CNST_DATE,CLICnstDate,P2D,,,,
BooleanString,cep_customer_features.cse_crcd_cli_cnst_flag,CSE_CRCD_CLI_CNST_FLAG,CCHasCLIConsent,P2D,,,,
BooleanString,cep_customer_features.cse_cust_frau_inda_flag,CSE_CUST_FRAU_INDA_FLAG,FraudFlag,P2D,,,,
BooleanString,cep_customer_features.cse_cust_idnn_tkov_flag,CSE_CUST_IDNN_TKOV_FLAG,VictimIDTakeOverFlag,P2D,,,,
BooleanString,cep_customer_features.cse_cust_resi_stus_flag,CSE_CUST_RESI_STUS_FLAG,CustResidenceStatus,P1D,,,,
Date,cep_customer_features.cse_ltst_proa_inta_dat,CSE_LTST_PROA_INTA_DATE,CommseeProactiveIntaDate,P1D,,,,
BooleanString,cep_customer_features.cse_work_plac_flag,CSE_WORK_PLAC_FLAG,CseWorkPlacFlag,P2D,,,,
DenseDateTime,cep_customer_features.cse_yth_appt_dvic_regr_dtts,CSE_YTH_APPT_DVIC_REGR_DTTS,YouthAppRegTimestamp,P2D,,Australia/Sydney,Australia/Sydney,
BooleanString,cep_customer_features.cse_cust_abn_flag,CUST_ABN_FLAG,CustomerHasAbn,P1D,,,,
BooleanString,cep_customer_features.cust_acn_flag,CUST_ACN_FLAG,CustomerHasAcn,P1D,,,,
Date,cep_customer_features.dummy_feature_name,CUST_BRTH_DAY,Birthdate,P2D,,,,
String,cep_customer_features.cust_busn_unit,CUST_BUSN_UNIT,CustomerBusinessUnit,P2D,80,,,
String,cep_customer_features.cust_cntr_code,CUST_CNTR_CODE,CountryCode,P2D,20,,,
BooleanString,cep_customer_features.cust_crs_flag,CUST_CRS_FLAG,CustCRSFlag,P2D,,,,
String,customer_persona.cust_dominant_vs_idx,CUST_DOMINANT_VS_IDX,CustDominantVsIdx,P2D,251,,,
String,customer_persona.cust_dominant_vs_pop,CUST_DOMINANT_VS_POP,CustDominantVsPop,P2D,250,,,
Date,cep_customer_features.cust_estb_date,CUST_ESTB_DATE,EstablishmentDate,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_cust_excl_for_stat_flag,CUST_EXCL_FOR_STAT_F,CustExclusionsForState,P2D,,,,
String,cep_customer_features.foot_band,CUST_FOOT_BAND,CustomerFootingBand,P2D,100,,,
DenseDate,cep_customer_features.cust_frst_acct_open_date,CUST_FRST_ACCT_DATE,CustomerFirstAcctDate,P1D,,,,
String,cep_customer_features.cust_gndr,CUST_GNDR_CODE,GenderCode,P2D,5,,,
BooleanString,cep_customer_features.cust_has_cfs_flag,CUST_HAS_CFS_FLAG,CustHasCFSProduct,P1D,,,,
BooleanString,cep_customer_features.cust_has_es_flag,CUST_HAS_ES_FLAG,CustHasESProduct,P1D,,,,
BooleanString,cep_customer_features.cust_has_gs_flag,CUST_HAS_GS_FLAG,CustHasGSProduct,P1D,,,,
BooleanString,cep_customer_features.cust_hrds_flag,CUST_HRDS_FLAG,FinancialHardshipFlag,P2D,,,,
BooleanString,cep_customer_features.cust_ifa_flag,CUST_IFA_FLAG,CustIFAFlag,P2D,,,,
String,cep_customer_features.cust_mari_stus,CUST_MARI_STUS_CODE,MaritalStatus,P2D,5,,,
BooleanString,cep_customer_features.cust_mfs_flag,CUST_MFS_FLAG,CustomerMFSFlag,P2D,,,,
BooleanString,cep_customer_features.cust_npp_clik_notc_me_flag,CUST_NPP_CLIK_NOTC_ME_FLAG,CustNppClikNotcMeFlag,P2D,,,,
String,cep_customer_features.cust_ntb_id,CUST_NTB_ID,CustomerNetbankId,P1D,30,,,
String,cep_customer_features.cust_paty_code,CUST_PATY_CODE,PatyCode,P2D,10,,,
String,cep_customer_features.dummy_feature_name,CUST_PHYS_LOCN,PhysicalLocation,P2D,30,,,
String,cep_customer_features.cust_post_code,CUST_POST_CODE,PostCode,P2D,10,,,
BooleanString,cep_customer_features.cust_regr_npp,CUST_REGR_NPP,CustRegrNPP,P2D,,,,
String,customer_persona.cust_sa1,CUST_SA1,CustSa1,P2D,102,,,
Date,cep_customer_features.gdw_onb_strt_d,CUST_START_DATE,StartDate,P1D,,,,
String,cep_customer_features.cust_stat_code,CUST_STAT_CODE,StateCode,P2D,30,,,
String,cep_customer_features.cust_stus_amlv,CUST_STUS_AMLV,CustStusAMLV,P2D,255,,,
String,cep_customer_features.cust_stus_fatc,CUST_STUS_FATC,StatusCodeFATC,P2D,255,,,
String,cep_customer_features.cust_surb,CUST_SURB,Suburb,P2D,100,,,
Date,cep_customer_features.cust_verf_date,CUST_VERF_DATE,CustomerVerificationDate,P2D,,,,
Double,cep_customer_features.cv30_clv,CV30_CLV,CV30RiskAdjustedRevenue,P2D,,,,
