type,omnianame,spinename,peganame,freshness,typelimit,typesourceTimeZone,typetargetTimeZone,typename
Double,cep_customer_features.cv30_crcd_low_rate_incr,CV30_CRCD_LOW_RATE_INCR,CV30CCLowRateIncremental,P2D,,,,
Double,cep_customer_features.cv30_crcd_prem_incr,CV30_CRCD_PREM_INCR,Cv30CCPremiumIncremental,P2D,,,,
Double,cep_customer_features.cv30_crcd_stnd_incr,CV30_CRCD_STND_INCR,CV30CCStandardIncremental,P2D,,,,
Double,cep_customer_features.cv30_hl_bsic_incr,CV30_HL_BSIC_INCR,CV30HLBasicIncremental,P2D,,,,
Double,cep_customer_features.cv30_hl_fix_incr,CV30_HL_FIX_INCR,CV30HLFixedIncremental,P2D,,,,
Double,cep_customer_features.cv30_hl_stnd_incr,CV30_HL_STND_INCR,CV30HLStandardIncremental,P2D,,,,
Double,cep_customer_features.cv30_insr_home_motr_incr,CV30_INSR_HOME_MOTR_INCR,Cv30InsuranceHomeMotrIncr,P2D,,,,
Double,cep_customer_features.cv30_insr_incm_loan_incr,CV30_INSR_INCM_LOAN_INCR,CV30InsuranceIncomeLoanIncr,P2D,,,,
Double,cep_customer_features.cv30_insr_life_trma_incr,CV30_INSR_LIFE_TRMA_INCR,CV30InsuranceLifeTraumaIncr,P2D,,,,
Double,cep_customer_features.cv30_invt_invt_incr,CV30_INVT_INVT_INCR,CV30InvestmentAccountIncr,P2D,,,,
Double,cep_customer_features.cv30_othr_busn_incr,CV30_OTHR_BUSN_INCR,CV30OtherBusinessIncremental,P2D,,,,
Double,cep_customer_features.cv30_othr_othr_incr,CV30_OTHR_OTHR_INCR,CV30OtherAccountsIncremental,P2D,,,,
Double,cep_customer_features.cv30_pl_pl_incr,CV30_PL_PL_INCR,CV30PLAndOverDrIncremental,P2D,,,,
Double,cep_customer_features.cv30_pl_pl_ovdr_incr,CV30_PL_PL_OVDR_INCR,CV30PLOverDraftIncremental,P2D,,,,
Double,cep_customer_features.cv30_save_cash_invt_incr,CV30_SAVE_CASH_INVT_INCR,CV30SavingsCommsecIncr,P2D,,,,
Double,cep_customer_features.cv30_save_save_incr,CV30_SAVE_SAVE_INCR,CV30SavingsIncremental,P2D,,,,
Double,cep_customer_features.cv30_supn_supn_incr,CV30_SUPN_SUPN_INCR,CV30SuperannuationIncr,P2D,,,,
Double,cep_customer_features.cv30_td_td_incr,CV30_TD_TD_INCR,CV30TermDepositIncremental,P2D,,,,
Double,cep_customer_features.cv30_tran_evof_incr,CV30_TRAN_EVOF_INCR,CV30EveryDayOffsetIncr,P2D,,,,
Double,cep_customer_features.cv30_tran_misa_incr,CV30_TRAN_MISA_INCR,CV30TranMISAIncremental,P2D,,,,
Double,cep_customer_features.cv30_tran_tran_incr,CV30_TRAN_TRAN_INCR,CV30TransactionIncremental,P2D,,,,
Double,cep_customer_features.cv30_vloc_vloc_incr,CV30_VLOC_VLOC_INCR,CV30VLOCIncremental,P2D,,,,
Double,cep_customer_features.cv_sb_fcv_10_af_aset_fncl,CV_SB_FCV_10_AF_ASET_FNCL,ValuesSBAF,P2D,,,,
Double,cep_customer_features.cv_sb_fcv_10_busn_tran_acct,CV_SB_FCV_10_BUSN_TRAN_ACCT,ValuesSBBTA,P2D,,,,
Double,cep_customer_features.cv_sb_fcv_10_cl_cmln,CV_SB_FCV_10_CL_CMLN,ValuesSBCL,P2D,,,,
Double,cep_customer_features.cv_sb_fcv_10_tran_sbo,CV_SB_FCV_10_TRAN_SBO,ValuesSBSBO,P2D,,,,
Integer,cep_customer_features.pj_prsl_tran_trnf_db_last_1_mnth_cnt,DB_TRAN_LAST_1_MNTH_CNT,CountOfDBTransaction1Month,P2D,,,,
Date,cep_customer_features.decd_stus_efft_date,DECD_STUS_EFFT_DATE,DeceasedStatusEfftDate,P1D,,,,
BooleanString,cep_customer_features.decd_trst_flag,DECD_TRST_F,IsDeceasedEstate,P2D,,,,
BooleanString,cep_customer_features.digiexp1,DIGIEXP1,DigiExp1,P2D,,,,
BooleanString,cep_customer_features.digiexp10,DIGIEXP10,DigiExp10,P2D,,,,
BooleanString,cep_customer_features.digiexp2,DIGIEXP2,DigiExp2,P2D,,,,
BooleanString,cep_customer_features.digiexp3,DIGIEXP3,DigiExp3,P2D,,,,
BooleanString,cep_customer_features.digiexp4,DIGIEXP4,DigiExp4,P2D,,,,
BooleanString,cep_customer_features.digiexp5,DIGIEXP5,DigiExp5,P2D,,,,
BooleanString,cep_customer_features.digiexp6,DIGIEXP6,DigiExp6,P2D,,,,
BooleanString,cep_customer_features.digiexp7,DIGIEXP7,DigiExp7,P2D,,,,
BooleanString,cep_customer_features.digiexp8,DIGIEXP8,DigiExp8,P2D,,,,
BooleanString,cep_customer_features.digiexp9,DIGIEXP9,DigiExp9,P2D,,,,
Integer,customer_digital_origination.num_of_inactive_creditcards,DIGT_ORIG_CC_INACTIVE_CNT,DigitalOriginCCInactiveCount,P2D,,,,
Date,customer_digital_origination.max_of_creditcard_open_date,DIGT_ORIG_CC_LTST_OPEN_DATE,DigitalOriginCCLtstOpenDate,P2D,,,,
Integer,cep_customer_features.gdw_insr_dirc_life_crcd_plus_cnt,DIRC_LIFE_CRCD_PLUS_CNT,CountDirLifeCrCdPlusIns,P2D,,,,
Integer,cep_customer_features.gdw_insr_dirc_life_loan_prot_hl_cnt,DIRC_LIFE_LP_HL_CNT,CountDircLifeLPHL,P2D,,,,
Integer,cep_customer_features.gdw_insr_dirc_life_loan_prot_pl_cnt,DIRC_LIFE_LP_PL_CNT,CountDircLifeLPPL,P2D,,,,
Integer,cep_customer_features.gdw_insr_dirc_life_smpl_life_cnt,DIRC_LIFE_SMPL_LIFE_CNT,CountDircLifeSmplLife,P2D,,,,
Date,cep_customer_features.dirc_mrkt_allow_date,DIRC_MRKT_ALLOW_DATE,DircMrktAllowDate,P1D,,,,
BooleanString,cep_customer_features.dirc_mrkt_allow_f,DIRC_MRKT_ALLOW_F,DircMrktAllowF,P1D,,,,
Double,cep_customer_features.dlta_crcd_dmon,DLTA_CRCD_DMON,DltaCrcdDmon,P2D,,,,
Double,cep_customer_features.dlta_crcd_low_fee,DLTA_CRCD_LOW_FEE,DltaCrcdLowFee,P2D,,,,
Double,cep_customer_features.dlta_crcd_low_rate,DLTA_CRCD_LOW_RATE,DltaCrcdLowRate,P2D,,,,
Double,cep_customer_features.dlta_crcd_pltm,DLTA_CRCD_PLTM,DltaCrcdPltm,P2D,,,,
Double,cep_customer_features.dlta_crcd_stnd,DLTA_CRCD_STND,DltaCrcdStnd,P2D,,,,
Double,cep_customer_features.dlta_evrydayofst,DLTA_EVRYDAYOFST,DltaEvrydayofst,P2D,,,,
Double,cep_customer_features.dlta_insur_contents,DLTA_INSUR_CONTENTS,DltaInsurContents,P2D,,,,
Double,cep_customer_features.dlta_insur_crcd_plus,DLTA_INSUR_CRCD_PLUS,DltaInsurCrcdPlus,P2D,,,,
Double,cep_customer_features.dlta_insur_home,DLTA_INSUR_HOME,DltaInsurHome,P2D,,,,
Double,cep_customer_features.dlta_insur_incm_prot,DLTA_INSUR_INCM_PROT,DltaInsurIncmProt,P2D,,,,
Double,cep_customer_features.dlta_insur_life,DLTA_INSUR_LIFE,DltaInsurLife,P2D,,,,
Double,cep_customer_features.dlta_insur_loan_prot,DLTA_INSUR_LOAN_PROT,DltaInsurLoanProt,P2D,,,,
Double,cep_customer_features.dlta_insur_motor,DLTA_INSUR_MOTOR,DltaInsurMotor,P2D,,,,
Double,cep_customer_features.dlta_inv_hl,DLTA_INV_HL,DltaInvHl,P2D,,,,
Double,cep_customer_features.dlta_own_hl,DLTA_OWN_HL,DltaOwnHl,P2D,,,,
Double,cep_customer_features.dlta_pension,DLTA_PENSION,DltaPension,P2D,,,,
Double,cep_customer_features.dlta_pens_sec_acc,DLTA_PENS_SEC_ACC,DltaPensSecAcc,P2D,,,,
Double,cep_customer_features.dlta_pl,DLTA_PL,DltaPl,P2D,,,,
Double,cep_customer_features.dlta_prsl_ovdr,DLTA_PRSL_OVDR,DltaPrslOvdr,P2D,,,,
Double,cep_customer_features.dlta_savings,DLTA_SAVINGS,DltaSavings,P2D,,,,
Double,cep_customer_features.dlta_savings_prem,DLTA_SAVINGS_PREM,DltaSavingsPrem,P2D,,,,
Double,cep_customer_features.dlta_supr_clnl,DLTA_SUPR_CLNL,DltaSuprClnl,P2D,,,,
Double,cep_customer_features.dlta_supr_esnt,DLTA_SUPR_ESNT,DltaSuprEsnt,P2D,,,,
Double,cep_customer_features.dlta_td,DLTA_TD,DltaTd,P2D,,,,
Double,cep_customer_features.dlta_trans_acct,DLTA_TRANS_ACCT,DltaTransAcct,P2D,,,,
Integer,cep_customer_features.gcps_drcd_prsl_uact_cnt,DRCD_PRSL_UACT_CNT,CountUnactivatedPersDC,P2D,,,,
BooleanString,cep_customer_features.dupl_cust_idnn,DUPL_CUST_IDNN,DuplicateCustomerID,P2D,,,,
Integer,customer_digital_origination.num_of_nonqna_tranaccounts,D_NQNA_TRAN_ACCT_CNT,DigCountOfNonQNATranAcct,P2D,,,,
Date,customer_digital_origination.max_open_date_nonqna_tranaccount,D_NQNA_TRAN_ACCT_LAST_OPEN_D,DigNonQNATranAcctLstOpenDate,P2D,,,,
Integer,cep_customer_features.gdw_eday_ofst_acct_cnt,EDAY_OFST_ACCT_CNT,CountEDayOffsetAcct,P2D,,,,
BooleanString,cep_customer_features.emal_hard_bunc_flag,EMAL_HARD_BUNC_FLAG,EmailHardBounceFlag,P1D,,,,
Integer,cep_customer_features.gdw_cust_emal_stmt_cnt,EMAL_STMT_CNT,CountEmailStatements,P2D,,,,
String,cep_customer_features.enty_sbty_code,ENTY_SBTY_CODE,EntitySubtypeCode,P2D,10,,,
String,cep_customer_features.enty_sbty_desc,ENTY_SBTY_DESC,EntitySubtypeDescription,P2D,50,,,
String,cep_customer_features.enty_type_code,ENTY_TYPE_CODE,EntityTypeCode,P2D,10,,,
String,cep_customer_features.enty_type_desc,ENTY_TYPE_DESC,EntityTypeDescription,P2D,50,,,
BooleanString,cep_customer_features.esnt_supr_only_flag,ESNT_SUPR_ONLY_FLAG,Esnt_Supr_Only_Flag,P1D,,,,
Date,cep_customer_features.evnt_clse_busn_expy_date,EVNT_CLSE_BUSN_DATE_EXPY,InsightCloseBusTargetDate,P2D,,,,
Date,cep_customer_features.evnt_debt_expy_date,EVNT_DEBT_DATE_EXPY,InsightReduceDebtTargetDate,P2D,,,,
Date,cep_customer_features.evnt_havn_baby_expy_date,EVNT_HAVN_BABY_DATE_EXPY,InsightNewBabyTargetDate,P2D,,,,
Date,cep_customer_features.evnt_marr_expy_date,EVNT_MARR_DATE_EXPY,InsightWeddingTargetDate,P2D,,,,
Date,cep_customer_features.evnt_new_busn_expy_date,EVNT_NEW_BUSN_DATE_EXPY,InsightNewBusTargetDate,P2D,,,,
Date,cep_customer_features.evnt_new_job_expy_date,EVNT_NEW_JOB_DATE_EXPY,InsightNewJobTargetDate,P2D,,,,
Date,cep_customer_features.evnt_oz_expy_date,EVNT_OZ_DATE_EXPY,InsightArriveOzTargetDate,P2D,,,,
Date,cep_customer_features.evnt_rter_expy_date,EVNT_RTER_DATE_EXPY,InsightRetireTargetDate,P2D,,,,
Date,cep_customer_features.evnt_wdfl_expy_date,EVNT_WDFL_DATE_EXPY,InsightGrowBusinessTargetDate,P2D,,,,
Date,cep_customer_features.evnt_educ_expy_date,EVT_EDCN_DATE_EXPY,InsightEducationTargetDate,P2D,,,,
Date,cep_customer_features.evnt_new_home_expy_date,EVT_HOME_DATE_EXPY,InsightHomeTargetDate,P2D,,,,
Date,cep_customer_features.evnt_rnvt_expy_date,EVT_RNVT_DATE_EXPY,InsightRennovateTargetDate,P2D,,,,
Date,cep_customer_features.evnt_stdy_expy_date,EVT_STDY_DATE_EXPY,InsightStudyTargetDate,P2D,,,,
Date,cep_customer_features.evnt_trvl_expy_date,EVT_TRVL_DATE_EXPY,InsightTravelTargetDate,P2D,,,,
Date,cep_customer_features.evnt_vhcl_expy_date,EVT_VHCL_DATE_EXPY,InsightVehicleTargetDate,P2D,,,,
BooleanString,cep_customer_features.ext_or_bpb_cpln_6m_flag,EXT_OR_BPB_CPLN_6M_FLAG,ExternalOrBPBComplaint6M,P2D,,,,
BooleanString,cep_customer_features.ezy_only_cust_flag,EZY_ONLY_CUST_F,IsEzyOnlyCustomer,P2D,,,,
Date,cep_customer_features.sap_fhc_busn_exit,FHC_BUSN_EXIT,FHCBusnExit,P1D,,,,
Date,cep_customer_features.sap_fhc_busn_grow,FHC_BUSN_GROW,FHCBusnGrow,P1D,,,,
Date,cep_customer_features.sap_fhc_busn_othr,FHC_BUSN_OTHR,FHCBusnOthr,P1D,,,,
Date,cep_customer_features.sap_fhc_busn_sgft_pur,FHC_BUSN_SIG_PUR,FHCBusnSigPur,P1D,,,,
Date,cep_customer_features.sap_fhc_busn_strt,FHC_BUSN_STRT,FHCBusnStrt,P1D,,,,
Date,cep_customer_features.sap_fhc_prsl_fncl_peac_of_mind,FHC_FNCL_PEAC_OF_MIND,FHCFnclPeacOfMind,P1D,,,,
Integer,cep_customer_features.sap_crm_fhc_ltst_recd_stus_v2,FHC_LTST_RECD_STUS,LatestFHCStatus,P2D,,,,
DateTime,cep_customer_features.sap_crm_fhc_ltst_recd_time_v2,FHC_LTST_RECD_TIME,LatestFHCStatusUpdateTime,P2D,,Australia/Sydney,Australia/Sydney,
Date,cep_customer_features.sap_fhc_busn_mnge_cshf_dtd_bank,FHC_MNGE_CSHF_DTD_BANK,FHCMngeCshfDtdBank,P1D,,,,
Date,cep_customer_features.sap_fhc_prsl_buy_a_car,FHC_PRSL_BUY_A_CAR,FHCPrslBuyACar,P1D,,,,
Date,cep_customer_features.sap_fhc_prsl_educ,FHC_PRSL_EDUC,FHCPrslEduc,P1D,,,,
Date,cep_customer_features.sap_fhc_prsl_get_marr,FHC_PRSL_GET_MARR,FHCPrslGetMarr,P1D,,,,
Date,cep_customer_features.sap_fhc_prsl_impv_prop,FHC_PRSL_IMPV_PROP,FHCPrslImpvProp,P1D,,,,
Date,cep_customer_features.sap_fhc_prsl_invt,FHC_PRSL_INVT,FHCPrslInvt,P1D,,,,
Date,cep_customer_features.sap_fhc_prsl_othr,FHC_PRSL_OTHR,FHCPrslOthr,P1D,,,,
Date,cep_customer_features.sap_fhc_prsl_prop_bild,FHC_PRSL_PROP_BILD,FHCPrslPropBild,P1D,,,,
Date,cep_customer_features.sap_fhc_prsl_prop_invt,FHC_PRSL_PROP_INVT,FHCPrslPropInvt,P1D,,,,
Date,cep_customer_features.sap_fhc_prsl_prop_pur,FHC_PRSL_PROP_PUR,FHCPrslPropPur,P1D,,,,
Date,cep_customer_features.sap_fhc_prsl_redt_debt,FHC_PRSL_REDT_DEBT,FHCPrslRedtDebt,P1D,,,,
Date,cep_customer_features.sap_fhc_prsl_retr,FHC_PRSL_RETR,FHCPrslRetr,P1D,,,,
Date,cep_customer_features.sap_fhc_prsl_rfnc_hl,FHC_PRSL_RFNC_HL,FHCPrslRfncHL,P1D,,,,
Date,cep_customer_features.sap_fhc_prsl_rloc,FHC_PRSL_RLOC,FHCPrslRloc,P1D,,,,
Date,cep_customer_features.sap_fhc_prsl_sgft_pur,FHC_PRSL_SGFT_PUR,FHCPrslSgftPur,P1D,,,,
Date,cep_customer_features.sap_fhc_prsl_trvl,FHC_PRSL_TRVL,FHCPrslTrvl,P1D,,,,
String,cep_customer_features.dummy_feature_name,FIRST_NAME,FirstName,P2D,255,,,
Double,cep_customer_features.futr_cust_valu,FUTR_CUST_VALU,FutrCustValu,P2D,,,,
Integer,cep_customer_features.gcps_crcd_busn_uact_mcrd_cnt,GCPS_CRCD_BUSN_UACT_MCRD_CNT,BusCountUnactivatedMC,P2D,,,,
Integer,cep_customer_features.gcps_crcd_busn_uact_visa_cnt,GCPS_CRCD_BUSN_UACT_VISA_CNT,BusCountUnactivatedVisa,P2D,,,,
Integer,cep_customer_features.gcps_drcd_busn_uact_cnt,GCPS_DRCD_BUSN_UACT_CNT,BusCountDebitCardsUnactive,P2D,,,,
Date,cep_customer_features.gcrs_exit_date,GCRS_EXIT_DATE,GCRSLastExitDate,P1D,,,,
String,cep_customer_features.gcrs_flag,GCRS_FLAG,IsGCRSManaged,P1D,1,,,
BooleanString,cep_customer_features.gdw_capp_regr_flag,GDW_CAPP_REGR_FLAG,HasRegForCBAApp,P2D,,,,
BooleanString,cep_customer_features.gdw_cb_app_pay_pass_enbl_f,GDW_CB_APP_PAY_PASS_ENBL_F,PayPassEnableCriteriaFlag,P2D,,,,
BooleanString,cep_customer_features.gdw_cc_cba_awrd_opti_f,GDW_CC_CBA_AWRD_OPTI_F,CCCBAAwardOptInFlag,P2D,,,,
BooleanString,cep_customer_features.gdw_cc_qff_opti_f,GDW_CC_QFF_OPTI_F,CCQantasFreqFlyerOptInFlag,P2D,,,,
String,cep_customer_features.gdw_cmf_segment,GDW_CMF_SEGMENT,CMFSegment,P2D,100,,,
String,cep_customer_features.gdw_cust_web_trak_id,GDW_CUST_WEB_TRAK_ID,CustWebTrackerId,P2D,255,,,
BooleanString,cep_customer_features.gdw_esnt_supr_f,GDW_ESNT_SUPR_F,EssentialSuperFlag,P2D,,,,
String,cep_customer_features.gdw_mosc_segm_c,GDW_MOSC_SEGM_C,MosaicSegmentCode,P2D,1,,,
BooleanString,cep_customer_features.gdw_ntb_regr_flag,GDW_NTB_REGR_FLAG,HasRegForNetbank,P2D,,,,
String,cep_customer_features.gdw_occp_catg_x,GDW_OCCP_CATG_X,OccupationCategoryDesc,P2D,255,,,
String,cep_customer_features.gdw_org_busn_unit,GDW_ORG_BUSN_UNIT,GDWOriginalBusinessUnit,P2D,80,,,
String,cep_customer_features.gdw_pric_optn_c,GDW_PRIC_OPTN_C,PricingOptionCode,P2D,100,,,
BooleanString,cep_customer_features.gdw_self_empl_f,GDW_SELF_EMPL_F,SelfEmployedFlag,P2D,,,,
String,cep_customer_features.gdw_trig_dpid_flag,GDW_TRIG_DPID_FLAG,GIDPIDExclFlag,P30D,2,,,
BooleanString,cep_customer_features.gdw_trig_pass_book_acct_gt_500,GDW_TRIG_PASS_BOOK_ACCT_GT_500,HasPassBookAcctGTE500,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_sole_trad,GDW_TRIG_SOLE_TRAD,PotentialSoleTraderFlag,P2D,,,,
BooleanString,cep_customer_features.gdw_trvl_mony_card_hold_f,GDW_TRVL_MONY_CARD_HOLD_F,TravelMoneyCardFlag,P2D,,,,
Integer,cep_customer_features.gdw_insr_genl_home_cnt,GENL_HOME_INS_CNT,CountHomeInsurance,P2D,,,,
Integer,cep_customer_features.pj_onb_goal_save_acct_cnt,GOAL_SAVE_ACCT_CNT,CountGoalSavingsAccount,P2D,,,,
String,cep_customer_features.govt_bent_code,GOVT_BENT_CODE,GovtBentCode,P2D,2,,,
BooleanString,cep_customer_features.govt_bent_flag,GOVT_BEN_F,IsGovermentBenefitReceiver,P2D,,,,
BooleanString,cep_customer_features.grup_secu_unds_cust_flag,GRUP_SECU_UNDS_CUST_FLAG,GrupSecuUndsCustFlag,P1D,,,,
BooleanString,cep_customer_features.actv_crcd_flag,HAS_ACTV_CC_F,hasActiveCreditCard ,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_bldg_insr_flag,HAS_BLDG_INSR_FLAG,HasBuildingInsuranceFlag,P2D,,,,
BooleanString,cep_customer_features.has_crcd_dcln_last_30_days_flag,HAS_CC_DCLN_LAST_30_DAYS_F,DeclinedForCCInLastMonth,P2D,,,,
BooleanString,cep_customer_features.gdw_ecv_atmt,HAS_ECV_ATTEMPTED,HasECVAttempted,P1D,,,,
BooleanString,cep_customer_features.gdw_ecv_succ_atmt,HAS_ECV_ATTEMPT_SUCCESS,HasECVAttemptSuccess,P1D,,,,
BooleanString,cep_customer_features.gdw_ecv_comp_brch,HAS_ECV_COMPLETED_BRANCH,HasECVCompletedBranch,P1D,,,,
BooleanString,cep_customer_features.gdw_exctt_resp_bnce,HAS_EMAIL_RESPONSE_BOUNCE,HasEmailResponseBounce,P1D,,,,
BooleanString,cep_customer_features.gdw_exctt_resp_spam_unsub,HAS_EMAIL_RESP_SPAM_UNSUB,HasEmailRespSpamUnsub,P1D,,,,
BooleanString,cep_customer_features.sap_cust_has_emal_flag,HAS_EMAL_F,CustHasEmailFlag,P1D,,,,
BooleanString,cep_customer_features.sap_cust_has_home_numb_flag,HAS_HOME_NUMB_F,CustHasHomeNumberFlag,P1D,,,,
BooleanString,cep_customer_features.sap_cust_has_mobl_flag,HAS_MOBL_F,CustHasMobileFlag,P1D,,,,
BooleanString,cep_customer_features.gdw_trig_has_no_life_ins_flag,HAS_NO_LIFE_INS_FLAG,HasNoLifeInsFlag,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_has_no_risk_ins_flag,HAS_NO_RISK_INS_FLAG,HasNoRiskInsFlag,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_ofi_vloc_flag,HAS_OFI_VLOC_FLAG,HasVLOCInOFIFlag,P2D,,,,
BooleanString,cep_customer_features.cust_20k_baln_flag,HAS_OVER_20K_LIQUID_F,hasOver20KInAccessibleCash,P2D,,,,
BooleanString,cep_customer_features.gt_750k_foot_flag,HAS_OVER_750K_FOOTINGS_F,HasOver750KFooting,P2D,,,,
BooleanString,cep_customer_features.gdw_tfn_decl_all,HAS_TFN_DECLARED_ALL,HasTFNDeclaredAll,P1D,,,,
BooleanString,cep_customer_features.high_busn_pd_flag,HIGH_BUSN_PD_FLAG,HighBusnPdFlag,P1D,,,,
Double,cep_customer_features.hls_hl_12_mnth_disc_vr_rdrw_bal_max,HL_12M_DISC_VR_RDRW_BAL_MAX,HL12MonthDiscVRRedrawBalMax,P2D,,,,
Double,cep_customer_features.hls_hl_12_mnth_disc_vr_rdrw_bal_min,HL_12M_DISC_VR_RDRW_BAL_MIN,HL12MonthDiscVRRedrawBalMin,P2D,,,,
Integer,cep_customer_features.hls_hl_12_mnth_disc_vr_cnt,HL_12_MNTH_DISC_VR_CNT,CountOf12MDVRHL,P2D,,,,
Integer,cep_customer_features.hls_hl_3_year_spec_rsvr_cnt,HL_3YR_SPL_RATE_SVR_CNT,Count3YrSplRateHL,P2D,,,,
Double,cep_customer_features.hls_hl_3_year_spec_ecvr_rdrw_bal_max,HL_3Y_SPEC_ECVR_RDRW_BAL_MAX,HL3YSpecEconVRRedrawBalMax,P2D,,,,
Double,cep_customer_features.hls_hl_3_year_spec_ecvr_rdrw_bal_min,HL_3Y_SPEC_ECVR_RDRW_BAL_MIN,HL3YSpecEconVRRedrawBalMin,P2D,,,,
Double,cep_customer_features.hls_hl_3_year_spec_rsvr_rdrw_bal_max,HL_3Y_SPEC_RSVR_RDRW_BAL_MAX,HL3YSpecRateSaveVRRdrwBalMax,P2D,,,,
Double,cep_customer_features.hls_hl_3_year_spec_rsvr_rdrw_bal_min,HL_3Y_SPEC_RSVR_RDRW_BAL_MIN,HL3YSpecRateSaveVRRdrwBalMin,P2D,,,,
Integer,cep_customer_features.hls_hl_3_year_spec_ecvr_cnt,HL_3_YR_SPL_ECVR_CNT,Count3YrSplRateEconHL,P2D,,,,
String,cep_customer_features.gdw_acct_orig_chnl,HL_ACCT_ORIG_CHANNEL,HLAcctOrigChannel,P2D,255,,,
String,cep_customer_features.cmse_low_lat_hl_app_id,HL_APPT_ID,HLApplicationId,P1D,20,,,
DateTime,cep_customer_features.cmse_low_lat_hl_app_ltst_dcln_date,HL_APPT_LAST_DECL_DATE,HLApplicationLastDeclineDate,P1D,,Australia/Sydney,Australia/Sydney,
Integer,cep_customer_features.sap_crm_hl_onln_appo_rqst_ntb_ltst_recd_stus_v2,HL_APPT_LAST_REQ_STUS_NTB,HLApptLastReqStatusNetbank,P2D,,,,
Integer,cep_customer_features.sap_crm_hl_onln_appo_rqst_prop_app_ltst_recd_stus_v2,HL_APPT_LAST_REQ_STUS_PA,HLApptLastReqStatusApp,P2D,,,,
Integer,cep_customer_features.sap_crm_hl_onln_appo_rqst_web_ltst_recd_stus_v2,HL_APPT_LAST_REQ_STUS_WEB,HLApptLastReqStatusWeb,P2D,,,,
DateTime,cep_customer_features.sap_crm_hl_onln_appo_rqst_ntb_ltst_recd_time_v2,HL_APPT_LAST_REQ_TIME_NTB,HLApptLastReqTimeNetbank,P2D,,Australia/Sydney,Australia/Sydney,
DateTime,cep_customer_features.sap_crm_hl_onln_appo_rqst_prop_app_ltst_recd_time_v2,HL_APPT_LAST_REQ_TIME_PA,HLApptLastReqTimeApp,P2D,,Australia/Sydney,Australia/Sydney,
DateTime,cep_customer_features.sap_crm_hl_onln_appo_rqst_web_ltst_recd_time_v2,HL_APPT_LAST_REQ_TIME_WEB,HLApptLastReqTimeWeb,P2D,,Australia/Sydney,Australia/Sydney,
BooleanString,cep_customer_features.gdw_trig_hl_brok_flag,HL_BROK_F,HlBrokerFlag,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_brok_segm_temp,HL_BROK_SEG_TEMP_F,HasHLBrokSegTemp,P2D,,,,
Integer,cep_customer_features.hls_hl_bvr_cnt,HL_BVR_CNT,CountOfBVRHL,P2D,,,,
Double,cep_customer_features.hls_hl_bvr_rdrw_bal_max,HL_BVR_REDRAW_BAL_MAX,HLBasicVRRedrawBalMax,P2D,,,,
Double,cep_customer_features.hls_hl_bvr_rdrw_bal_min,HL_BVR_REDRAW_BAL_MIN,HLBasicVRRedrawBalMin,P2D,,,,
Integer,digital_channels.page_view_count.page_name:cba_calculators_homeloans_comparison.aggregation_window:0_30,HL_CALO_COMP_30_DAY_CNT,HlCalctrCompareLoan30DayCnt,P1D,,,,
Integer,digital_channels.page_view_count.page_name:cba_home_loans_home_loan_calculators_and_tools.aggregation_window:0_30,HL_CALO_TOOL_30_DAY_CNT,HlCalctrAndTools30DayCnt,P1D,,,,
BooleanString,cep_customer_features.gdw_trig_hl_clt_excl,HL_CLT_EXCL,HLCLTExclusion,P2D,,,,
DateTime,cep_customer_features.cmse_hl_cntr_docs_genr_and_send_date_max,HL_CNTR_DOCS_GENR_DATE_MAX,HLContractDocsGenSendDateMax,P2D,,Australia/Sydney,Australia/Sydney,
DateTime,cep_customer_features.cmse_hl_cntr_docs_genr_and_send_date_min,HL_CNTR_DOCS_GENR_DATE_MIN,HLContractDocsGenSendDateMin,P2D,,Australia/Sydney,Australia/Sydney,
